"wynagrodzenie";"plec";"ubezpieczenie";"zamieszkanie";"wyksztalcenie";"oszczednosci";"wiedza";"wiek"
1,82;"K";"Nie";"Miasto";"Zawodowe";"0%";"Mała";21
1,97;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Mała";40
1,81;"K";"Nie";"Miasto";"Zawodowe";"0%";"Średnia";28
1,89;"K";"Tak";"Miasto";"Podstawowe";"10%-15%";"Mała";32
3,31;"M";"Tak";"Wieś";"Średnie";"Powyżej 15%";"Duża";30
1,85;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";29
2,63;"M";"Tak";"Wieś";"Średnie";"10%-15%";"Duża";37
2,76;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";28
1,85;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";50
2,91;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";50
1,88;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";28
2,16;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Duża";23
2,13;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Średnia";43
1,89;"K";"Tak";"Wieś";"Średnie";"10%-15%";"Mała";34
2,4;"M";"Tak";"Miasto";"Średnie";"5%-10%";"Duża";33
1,81;"M";"Nie";"Miasto";"Zawodowe";"0%";"Mała";55
1,9;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Mała";46
1,94;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Średnia";51
3,95;"M";"Tak";"Wieś";"Wyższe";"Powyżej 15%";"Średnia";39
1,91;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Nie mam wiedzy";38
1,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Nie mam wiedzy";39
1,82;"K";"Nie";"Miasto";"Podstawowe";"0%";"Mała";32
2,51;"M";"Tak";"Wieś";"Średnie";"10%-15%";"Duża";24
1,9;"K";"Tak";"Miasto";"Podstawowe";"10%-15%";"Nie mam wiedzy";36
1,95;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";35
1,77;"M";"Nie";"Miasto";"Zawodowe";"0%";"Mała";53
1,84;"K";"Tak";"Miasto";"Średnie";"Mniej niż 5%";"Mała";35
1,93;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";28
4,14;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Duża";34
2,46;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";59
2,61;"M";"Tak";"Miasto";"Podstawowe";"10%-15%";"Średnia";33
2,18;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Średnia";32
1,92;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";52
1,91;"K";"Tak";"Wieś";"Średnie";"10%-15%";"Mała";30
1,89;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";31
2,23;"M";"Nie";"Miasto";"Podstawowe";"5%-10%";"Średnia";29
1,89;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Nie mam wiedzy";19
1,83;"K";"Nie";"Miasto";"Zawodowe";"0%";"Duża";25
1,89;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";44
1,88;"K";"Tak";"Miasto";"Wyższe";"5%-10%";"Mała";30
1,83;"K";"Nie";"Miasto";"Zawodowe";"0%";"Duża";43
1,83;"K";"Nie";"Miasto";"Podstawowe";"0%";"Mała";43
1,91;"M";"Nie";"Miasto";"Podstawowe";"Mniej niż 5%";"Średnia";30
1,95;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Nie mam wiedzy";36
1,97;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Średnia";21
1,93;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Mała";40
1,84;"K";"Tak";"Miasto";"Zawodowe";"Mniej niż 5%";"Nie mam wiedzy";31
1,89;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";43
1,84;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5%";"Średnia";44
1,83;"M";"Nie";"Wieś";"Zawodowe";"0%";"Mała";38
1,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Nie mam wiedzy";50
1,88;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";54
3,12;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";34
1,93;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";23
1,86;"K";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";23
1,88;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";55
2,28;"M";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";31
1,88;"K";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";29
1,96;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Mała";58
1,83;"K";"Nie";"Miasto";"Zawodowe";"0%";"Mała";21
1,83;"K";"Nie";"Miasto";"Zawodowe";"0%";"Nie mam wiedzy";61
2,48;"M";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";37
1,85;"K";"Tak";"Wieś";"Zawodowe";"5%-10%";"Nie mam wiedzy";36
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";35
2,93;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";37
2,79;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Duża";28
2,56;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";68
1,96;"K";"Tak";"Miasto";"Podstawowe";"Powyżej 15%";"Średnia";30
1,95;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Nie mam wiedzy";74
2,21;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Mała";52
1,89;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";22
2,13;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Średnia";66
2,84;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";36
2,16;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Średnia";46
3,25;"M";"Tak";"Wieś";"Średnie";"10%-15%";"Duża";38
1,87;"K";"Tak";"Miasto";"Podstawowe";"5%-10%";"Nie mam wiedzy";31
2,49;"M";"Tak";"Miasto";"Zawodowe";"5%-10%";"Duża";45
2,41;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Duża";44
1,9;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Średnia";23
3,02;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";33
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";22
2,01;"K";"Tak";"Miasto";"Zawodowe";"Powyżej 15%";"Mała";35
1,78;"M";"Nie";"Miasto";"Zawodowe";"0%";"Nie mam wiedzy";46
3,13;"M";"Tak";"Wieś";"Wyższe";"10%-15%";"Mała";51
1,92;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Duża";51
2,8;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";47
1,87;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";51
3,34;"M";"Tak";"Wieś";"Średnie";"Powyżej 15%";"Duża";31
1,38;"M";"Nie";"Miasto";"Zawodowe";"0%";"Mała";23
2,58;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";43
1,92;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";34
2,32;"M";"Tak";"Wieś";"Zawodowe";"5%-10%";"Mała";46
1,89;"K";"Tak";"Wieś";"Średnie";"10%-15%";"Nie mam wiedzy";36
1,82;"K";"Nie";"Miasto";"Podstawowe";"0%";"Średnia";26
3,78;"M";"Tak";"Miasto";"Podstawowe";"Powyżej 15%";"Duża";25
1,83;"K";"Nie";"Miasto";"Podstawowe";"0%";"Średnia";26
2,47;"M";"Tak";"Miasto";"Zawodowe";"5%-10%";"Duża";30
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";25
1,85;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";43
1,95;"K";"Tak";"Wieś";"Średnie";"10%-15%";"Średnia";22
2,28;"M";"Tak";"Wieś";"Wyższe";"5%-10%";"Średnia";50
1,96;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Średnia";20
1,89;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";23
1,9;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";42
2,5;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Nie mam wiedzy";49
1,84;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5%";"Mała";46
2,37;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Duża";27
1,85;"K";"Tak";"Miasto";"Zawodowe";"5%-10%";"Mała";30
1,89;"K";"Tak";"Wieś";"Średnie";"10%-15%";"Średnia";37
1,83;"K";"Nie";"Miasto";"Zawodowe";"0%";"Mała";42
1,93;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";38
1,95;"K";"Tak";"Wieś";"Podstawowe";"10%-15%";"Duża";27
1,99;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Nie mam wiedzy";24
1,87;"K";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";39
2,51;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Średnia";30
1,92;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Średnia";45
2,65;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";28
1,85;"K";"Tak";"Wieś";"Średnie";"5%-10%";"Nie mam wiedzy";49
1,83;"K";"Nie";"Miasto";"Podstawowe";"0%";"Mała";44
3,01;"M";"Tak";"Wieś";"Średnie";"10%-15%";"Duża";33
2,62;"M";"Tak";"Miasto";"Podstawowe";"10%-15%";"Średnia";38
1,92;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";38
1,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Średnia";29
2;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Mała";26
1,91;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";37
2,47;"M";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";34
2,54;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Duża";23
1,88;"K";"Tak";"Miasto";"Zawodowe";"5%-10%";"Duża";43
2,55;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";54
2,84;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";43
1,87;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";30
2,47;"M";"Tak";"Wieś";"Średnie";"5%-10%";"Mała";42
1,91;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Nie mam wiedzy";31
2,02;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Duża";38
1,87;"K";"Tak";"Miasto";"Podstawowe";"5%-10%";"Nie mam wiedzy";26
2,38;"M";"Tak";"Miasto";"Zawodowe";"5%-10%";"Średnia";41
1,84;"K";"Nie";"Miasto";"Podstawowe";"Mniej niż 5%";"Średnia";54
2,01;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Mała";28
1,89;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Nie mam wiedzy";51
1,98;"K";"Tak";"Wieś";"Średnie";"Powyżej 15%";"Mała";45
3,35;"M";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Duża";50
3,47;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Mała";26
2,59;"M";"Tak";"Wieś";"Wyższe";"10%-15%";"Duża";57
2,96;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";29
2,73;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Duża";31
2,16;"M";"Nie";"Miasto";"Podstawowe";"5%-10%";"Nie mam wiedzy";31
3,4;"M";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Średnia";22
1,96;"K";"Tak";"Miasto";"Zawodowe";"Powyżej 15%";"Duża";53
1,25;"M";"Nie";"Miasto";"Podstawowe";"0%";"Średnia";54
1,9;"K";"Tak";"Wieś";"Średnie";"10%-15%";"Średnia";74
2,57;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";59
2,03;"M";"Nie";"Wieś";"Zawodowe";"Mniej niż 5%";"Średnia";31
2,59;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Duża";50
1,95;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Średnia";26
1,82;"K";"Nie";"Miasto";"Podstawowe";"0%";"Nie mam wiedzy";32
1,85;"K";"Tak";"Wieś";"Średnie";"5%-10%";"Mała";44
2,72;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Duża";49
3,06;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Duża";42
1,98;"K";"Tak";"Miasto";"Podstawowe";"Powyżej 15%";"Nie mam wiedzy";51
2,81;"M";"Tak";"Wieś";"Zawodowe";"10%-15%";"Duża";31
1,94;"K";"Tak";"Miasto";"Podstawowe";"10%-15%";"Średnia";64
2,02;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Średnia";35
2,22;"M";"Nie";"Wieś";"Podstawowe";"5%-10%";"Mała";34
1,88;"K";"Tak";"Miasto";"Zawodowe";"5%-10%";"Mała";31
2,49;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Mała";31
2,07;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Duża";39
2,05;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Mała";29
2,38;"M";"Tak";"Miasto";"Zawodowe";"5%-10%";"Duża";40
2,86;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";23
1,85;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";53
2,56;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Duża";20
1,87;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Nie mam wiedzy";40
1,84;"K";"Tak";"Miasto";"Średnie";"Mniej niż 5%";"Średnia";27
2,95;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";26
2,07;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Mała";50
2,39;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Duża";30
2,31;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";37
2,76;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Duża";34
1,99;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Nie mam wiedzy";44
2,57;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Mała";29
1,85;"K";"Tak";"Miasto";"Podstawowe";"5%-10%";"Nie mam wiedzy";37
1,94;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";27
1,82;"K";"Nie";"Miasto";"Zawodowe";"0%";"Mała";22
2;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Duża";28
2,14;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Średnia";28
1,86;"K";"Tak";"Wieś";"Zawodowe";"5%-10%";"Mała";39
1,81;"K";"Nie";"Miasto";"Podstawowe";"0%";"Mała";41
1,91;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Nie mam wiedzy";38
3,14;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";19
2,73;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Średnia";30
2,66;"M";"Tak";"Wieś";"Średnie";"10%-15%";"Duża";22
2,83;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";38
1,82;"K";"Nie";"Miasto";"Zawodowe";"0%";"Mała";39
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Nie mam wiedzy";31
2,31;"M";"Tak";"Miasto";"Zawodowe";"5%-10%";"Mała";28
2,71;"M";"Tak";"Wieś";"Wyższe";"10%-15%";"Średnia";28
1,91;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Średnia";29
1,85;"M";"Nie";"Miasto";"Podstawowe";"Mniej niż 5%";"Nie mam wiedzy";41
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";45
1,83;"K";"Nie";"Miasto";"Podstawowe";"0%";"Duża";45
1,96;"K";"Tak";"Miasto";"Zawodowe";"Powyżej 15%";"Nie mam wiedzy";41
3,39;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Mała";49
3,16;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";19
2,64;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";22
3,01;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Duża";29
1,88;"K";"Tak";"Wieś";"Średnie";"5%-10%";"Średnia";76
1,91;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";20
1,95;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";34
1,87;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";40
2,9;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";27
2,02;"K";"Tak";"Wieś";"Średnie";"Powyżej 15%";"Mała";36
1,85;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Duża";19
2,44;"M";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";34
2,89;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";42
2,07;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Średnia";45
1,92;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";23
2,73;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";27
3,77;"M";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Duża";22
2,72;"M";"Tak";"Wieś";"Średnie";"10%-15%";"Duża";20
1,85;"K";"Tak";"Wieś";"Średnie";"5%-10%";"Nie mam wiedzy";30
1,84;"K";"Nie";"Wieś";"Zawodowe";"Mniej niż 5%";"Średnia";37
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Nie mam wiedzy";34
2,32;"M";"Tak";"Miasto";"Średnie";"5%-10%";"Duża";42
2,13;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Średnia";29
1,79;"M";"Nie";"Miasto";"Zawodowe";"0%";"Mała";21
2,31;"M";"Tak";"Wieś";"Zawodowe";"5%-10%";"Duża";23
1,85;"K";"Tak";"Miasto";"Podstawowe";"5%-10%";"Średnia";40
1,84;"K";"Tak";"Miasto";"Wyższe";"Mniej niż 5%";"Duża";51
2,46;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Duża";24
3,34;"M";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Mała";51
2,59;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Mała";64
2,41;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";57
3,19;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";31
3,08;"M";"Tak";"Wieś";"Zawodowe";"10%-15%";"Duża";30
3,61;"M";"Tak";"Miasto";"Zawodowe";"Powyżej 15%";"Mała";27
2,34;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";36
3,28;"M";"Tak";"Miasto";"Zawodowe";"Powyżej 15%";"Duża";45
1,92;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";28
2,09;"M";"Nie";"Wieś";"Zawodowe";"5%-10%";"Mała";30
1,95;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";41
1,97;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15%";"Mała";33
3;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";41
3,02;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";58
1,91;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";49
2,71;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";49
2,43;"M";"Tak";"Wieś";"Zawodowe";"5%-10%";"Duża";45
3,25;"M";"Tak";"Wieś";"Średnie";"10%-15%";"Duża";28
1,91;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Mała";23
1,89;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";22
2,42;"M";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";33
1,89;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";21
1,83;"K";"Nie";"Wieś";"Podstawowe";"0%";"Mała";26
2,12;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Duża";24
1,87;"K";"Tak";"Wieś";"Wyższe";"5%-10%";"Nie mam wiedzy";26
1,93;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";30
2,53;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Duża";40
